area_position,region,province,istat,district,year,mounth,interruption_duration,interruption_duration_range,interruption_number,interruption_number_range,dur_number,client_number,altitude,altitude_range,coastal_region,mountain_region,urbanization,opex,opex_generated,capex,capex_generated,sales,ebitda,population_number,coordX,coordY,start_x,start_y
Nord,Emilia Romagna e Marche,Ascoli Piceno,44038,MONTEGALLO,2017,12,86655.72043,0,7567.650729,0,0-0,854,870,1,0,T,3,#N/A,2942.221637,#N/A,17106.56052,#N/A,#N/A,573,854097,4752474,0,0
Nord,Piemonte e Liguria,Alessandria-Asti,6107,MONTEGIOCO,2017,12,30008.61489,0,677.1681186,0,0-0,173,197,3,0,T,3,#N/A,1495.913312,#N/A,5109.698997,#N/A,#N/A,326,496867,4965475,0,0
Sud,Calabria,Cosenza-Castrovillari,78082,MONTEGIORDANO,2017,12,126894.3285,0,7385.14204,0,0-0,1758,619,4,1,T,3,#N/A,9327.375796,#N/A,34609.14754,#N/A,#N/A,1988,1144917,4460055,0,0
Nord,Emilia Romagna e Marche,Rimini,99009,MONTEGRIDOLFO,2017,12,16340.85304,0,2626.105484,0,0-0,484,290,4,0,NM,3,#N/A,4930.127241,#N/A,8932.292313,#N/A,#N/A,1029,798081,4863961,0,0
Nord,Emilia Romagna e Marche,Pesaro,41035,MONTEGRIMANOTERME,2017,12,44380.96648,0,2851.531187,0,0-0,814,536,3,0,T,3,#N/A,1759.006882,#N/A,9418.537656,#N/A,#N/A,1166,777931,4862855,0,0
Nord,Lombardia,Varese,12103,MONTEGRINOVALTRAVAG,2017,12,24854.79403,0,3671.409517,0,0-0,972,525,1,0,T,3,#N/A,3069.26223,#N/A,7052.36208,#N/A,#N/A,1414,482915,5090650,0,0
Nord,Piemonte e Liguria,Alessandria-Asti,5076,MONTEGROSSOD'ASTI,2017,12,2979.408787,0,2915.832458,0,0-0,1346,244,3,0,NM,3,#N/A,434.985933,#N/A,1515.13415,#N/A,#N/A,2264,439368,4962710,0,0
Nord,Lombardia,Monza,8037,MONTEGROSSOPIANLAT,2017,12,19355.69884,0,1121.336944,0,0-0,1748,721,1,0,T,3,#N/A,3405.820317,#N/A,5704.637267,#N/A,#N/A,121,404391,4878752,0,0
Nord,Piemonte e Liguria,Savona-Imperia,8037,MONTEGROSSOPIANLAT,2017,12,18766.90701,0,188.8942647,0,0-0,172,721,1,0,T,3,#N/A,3405.820317,#N/A,5704.637267,#N/A,#N/A,121,404391,4878752,0,0
Nord,Triveneto,Padova,28057,MONTEGROTTOTERME,2017,12,162373.1995,0,21744.8187,0,0-0,5445,11,3,0,NM,2,#N/A,700.8584137,#N/A,2989.887824,#N/A,#N/A,11074,718316,5023085,0,0
Sud,Puglia e Basilicata,Taranto,73016,MONTEIASI,2017,12,123526.8535,0,9056.084073,0,0-0,2210,47,5,0,NM,3,#N/A,399.0492904,#N/A,5934.917533,#N/A,#N/A,5522,1210571,4517489,0,0
Nord,Lombardia,Brescia-Breno,17111,MONTEISOLA,2017,12,20805.02094,0,1431.705665,0,0-0,1172,262,1,0,T,2,#N/A,706.5324104,#N/A,11207.52504,#N/A,#N/A,1804,584152,5062488,0,0
Nord,Emilia Romagna e Marche,Pesaro,41036,MONTELABBATE,2017,12,49787.26186,0,6504.377981,0,0-0,2739,65,4,0,NM,2,#N/A,440.9465274,#N/A,4758.414462,#N/A,#N/A,6719,803636,4861334,0,0
Centro,Lazio. Abruzzo e Molise,Roma Esterna-Rieti,58062,MONTELANICO,2017,12,121620.6853,0,10047.03645,0,0-0,1263,297,1,0,T,3,#N/A,1667.421865,#N/A,3102.807446,#N/A,#N/A,2152,836505,4618799,0,0
Centro,Lazio. Abruzzo e Molise,Pescara-Chieti,69053,MONTELAPIANO,2017,12,848.1418163,0,35.64042729,0,0-0,170,740,1,0,T,3,#N/A,5120.626518,#N/A,25624.33544,#N/A,#N/A,80,941865,4660208,0,0
Sud,Puglia e Basilicata,Foggia-Barletta,71032,MONTELEONEDIPUGLIA,2017,12,61518.17461,0,12246.19932,0,0-0,747,842,1,0,T,3,#N/A,31731.01753,#N/A,67932.0484,#N/A,#N/A,1067,1024633,4575311,0,0
Centro,Toscana e Umbria,Umbria,54031,MONTELEONEDISPOLET,2017,12,29357.46451,0,4816.209742,0,0-0,812,978,1,0,T,3,#N/A,14.06234321,#N/A,32.01399978,#N/A,#N/A,626,823596,4728856,0,0
Centro,Toscana e Umbria,Umbria,55021,MONTELEONED'ORVIETO,2017,12,9796.498445,0,1295.232529,0,0-0,945,500,3,0,T,3,#N/A,8912.783241,#N/A,24474.23484,#N/A,#N/A,1559,748510,4755315,0,0
Centro,Sardegna,Sassari-Olbia,90040,MONTELEONEROCCADOR,2017,12,593.6361938,0,102.4662285,0,0-0,95,368,3,0,NM,3,#N/A,45.34771259,#N/A,2300.297093,#N/A,#N/A,117,462372,4480313,0,0
Centro,Lazio. Abruzzo e Molise,Roma Esterna-Rieti,57041,MONTELEONESABINO,2017,12,85859.6555,0,2460.080494,0,0-0,835,496,3,0,T,3,#N/A,16583.37018,#N/A,30464.67992,#N/A,#N/A,1232,819389,4682254,0,0
Sud,Sicilia,Palermo,82050,MONTELEPRE,2017,12,346302.195,0,27582.27518,1,0-1,2826,343,3,0,P,2,#N/A,14618.18287,#N/A,29740.89141,#N/A,#N/A,6421,867458,4223663,0,0
Centro,Lazio. Abruzzo e Molise,Roma Esterna-Rieti,58063,MONTELIBRETTI,2017,12,236012.9518,0,31356.89344,1,0-1,2440,232,3,0,NM,3,#N/A,327.2043558,#N/A,1075.461474,#N/A,#N/A,5213,804553,4671371,0,0
Centro,Campania,Avellino,64057,MONTELLA,2017,12,180179.5351,0,7831.686894,0,0-0,3650,560,1,0,T,2,#N/A,4006.852948,#N/A,49229.62751,#N/A,#N/A,7877,1006981,4537460,0,0
Nord,Lombardia,Bergamo,16139,MONTELLO,2017,12,9326.128556,0,787.0594361,0,0-0,1269,229,5,0,NM,2,#N/A,579.2366598,#N/A,1550.355779,#N/A,#N/A,3173,562424,5058082,0,0
Centro,Lazio. Abruzzo e Molise,Molise,70044,MONTELONGO,2017,12,3228.186961,0,385.8076254,0,0-0,259,591,3,0,NM,3,#N/A,17.64440622,#N/A,53.67009586,#N/A,#N/A,384,995681,4638980,0,0
Nord,Piemonte e Liguria,Cuneo-Alba,4137,MONTELUPOALBESE,2017,12,4464.495898,0,1326.714906,0,0-0,285,564,3,0,NM,3,#N/A,1646.835076,#N/A,4678.688451,#N/A,#N/A,531,423511,4941726,0,0
Centro,Toscana e Umbria,Firenze,48028,MONTELUPOFIORENTINO,2017,12,142111.1381,0,13655.62972,0,0-0,6237,35,3,0,NM,2,#N/A,1613.726804,#N/A,5277.438079,#N/A,#N/A,13653,663195,4843347,0,0
Nord,Emilia Romagna e Marche,Ancona-Macerata,43030,MONTELUPONE,2017,12,123832.8809,0,7719.419548,0,0-0,1563,272,4,0,NM,3,#N/A,120.6878502,#N/A,4825.650744,#N/A,#N/A,3658,868977,4809316,0,0
Nord,Emilia Romagna e Marche,Pesaro,41037,MONTEMAGGIOREALMET,2017,12,41678.46849,0,3676.013072,0,0-0,1268,197,4,0,T,2,#N/A,3272.353028,#N/A,11975.79638,#N/A,#N/A,2812,817515,4850824,0,0
